a_x,a_y,a_z,roll,pitch,yaw,timestamp,temp
0.00,0.00,1.00,0.02,-0.00,0.09,9307,22.83
-0.00,0.00,1.00,0.02,-0.03,0.09,9310,22.83
-0.00,-0.00,1.00,0.00,-0.10,0.03,9314,22.83
-0.00,-0.00,1.00,0.00,-0.08,0.03,9318,22.80
-0.00,-0.00,1.00,-0.01,-0.00,0.08,9321,22.80
-0.00,0.00,1.00,-0.03,0.03,0.09,9325,22.80
0.00,0.00,1.00,-0.01,0.06,0.03,9329,22.83
0.00,0.00,1.00,0.00,0.04,-0.02,9332,22.83
0.00,0.00,1.00,0.03,0.03,-0.08,9336,22.83
0.00,0.00,1.00,0.03,0.04,-0.06,9340,22.82
0.00,-0.00,1.00,0.00,0.06,-0.02,9344,22.82
0.00,0.00,1.00,-0.03,0.06,-0.00,9348,22.82
0.00,0.00,1.00,-0.04,0.06,0.03,9352,22.84
0.00,0.00,1.00,-0.04,0.04,0.05,9355,22.84
-0.00,-0.00,1.00,-0.01,-0.02,0.08,9359,22.84
-0.00,-0.00,1.00,-0.01,-0.05,0.09,9363,22.84
0.00,-0.00,1.00,-0.01,-0.03,0.06,9366,22.84
0.00,-0.00,1.00,-0.03,-0.02,0.05,9370,22.84
-0.00,-0.00,1.00,-0.06,0.03,-0.00,9374,22.77
-0.00,-0.00,1.00,-0.04,0.03,-0.03,9377,22.77
-0.00,-0.00,1.00,0.00,0.06,-0.06,9381,22.77
-0.00,-0.00,1.00,0.03,0.07,-0.05,9385,22.81
0.00,0.00,1.00,0.08,0.06,0.03,9389,22.81
0.00,0.00,1.00,0.09,0.03,0.06,9393,22.81
0.00,0.00,1.00,0.09,-0.05,0.06,9397,22.84
-0.00,0.00,1.00,0.08,-0.08,0.05,9400,22.84
-0.00,-0.00,1.00,0.06,-0.08,0.01,9404,22.84
-0.00,-0.00,1.00,0.06,-0.08,-0.00,9408,22.84
-0.00,-0.00,1.00,0.06,-0.03,-0.00,9411,22.84
-0.00,0.00,1.00,0.08,-0.03,0.01,9415,22.84
0.00,0.00,1.00,0.11,-0.05,0.03,9419,22.82
0.00,0.00,1.00,0.12,-0.05,0.01,9422,22.82
0.00,-0.00,1.00,0.09,-0.00,-0.02,9426,22.82
-0.00,0.00,1.00,0.06,0.01,-0.03,9431,22.82
-0.00,0.00,1.00,0.00,0.01,-0.00,9434,22.82
-0.00,0.00,1.00,-0.01,0.01,0.05,9438,22.82
-0.00,0.00,1.00,-0.01,0.04,0.14,9442,22.87
0.00,-0.00,1.00,-0.01,0.06,0.14,9445,22.87
0.00,-0.00,1.00,-0.01,0.06,0.11,9449,22.87
0.00,-0.00,1.00,-0.01,0.03,0.03,9453,22.84
0.00,-0.00,1.00,-0.03,0.01,-0.00,9456,22.84
0.00,0.00,1.00,-0.07,0.01,-0.00,9460,22.84
0.00,0.00,1.00,-0.09,0.01,-0.00,9464,22.86
0.00,0.00,1.00,-0.01,0.01,0.03,9467,22.86
0.00,0.00,1.00,0.03,-0.00,0.03,9472,22.86
0.00,-0.00,1.00,0.11,-0.08,0.01,9475,22.80
0.00,-0.00,1.00,0.08,-0.11,-0.00,9479,22.80
0.00,0.00,1.00,-0.01,-0.07,-0.05,9483,22.80
0.00,0.00,1.00,-0.03,-0.02,-0.05,9486,22.79
0.00,0.00,1.00,-0.01,0.06,-0.03,9490,22.79
-0.00,0.00,1.00,0.02,0.07,-0.03,9494,22.79
-0.00,-0.00,1.00,0.05,0.07,-0.05,9497,22.83
