X,Y,Z,Timestamp
-474,400,-76,8179
-355,445,-16,8187
-346,397,-25,8195
-455,352,-85,8203
-318,346,-65,8211
-360,359,-48,8219
-440,397,-22,8226
-373,349,-37,8235
-399,327,70,8243
-302,394,-25,8251
-337,355,-17,8258
-378,371,-42,8266
-376,430,19,8274
-434,418,-43,8283
-429,450,62,8290
-407,433,-100,8298
-375,515,81,8306
-400,495,-38,8314
-397,400,-13,8322
-361,496,-37,8330
-400,494,69,8338
-414,441,34,8346
-341,354,23,8353
-355,413,-41,8361
-432,432,-113,8370
-297,353,-49,8378
-364,424,-40,8385
-415,350,59,8393
-396,387,-2,8401
-404,344,-15,8410
-370,381,-82,8417
-340,299,-15,8425
-440,333,53,8433
-404,376,-18,8441
-367,362,125,8449
-390,333,98,8457
-405,366,-67,8465
-442,390,21,8473
-379,420,-57,8480
-400,400,49,8488
-436,449,-15,8497
-362,382,-71,8505
-400,439,18,8512
-450,463,112,8520
-339,486,60,8528
-368,430,6,8537
-497,351,169,8544
-370,373,32,8552
-388,275,-5,8560
-387,476,-25,8568
-339,333,41,8576
-405,415,25,8584
-369,400,-34,8592
-429,348,-67,8600
-359,307,-12,8607
-306,431,-79,8615
-417,428,-116,8624
-370,420,-148,8632
-366,425,-94,8639
-359,394,-36,8647
-412,375,29,8655
-378,372,-23,8664
-325,408,-60,8671
-418,438,-20,8679
-374,348,-21,8687
-332,414,3,8695
-407,498,19,8702
-389,358,2,8711
-401,424,-34,8719
-416,427,-34,8727
-388,445,127,8734
-428,359,48,8742
-401,410,13,8751
-361,407,50,8759
-402,352,-73,8766
-352,341,-131,8774
-484,333,-76,8782
-312,327,-275,8791
-366,397,-135,8798
-434,349,-146,8806
-381,345,3,8814
-342,347,14,8822
-384,425,-106,8829
-344,387,14,8838
-429,383,-81,8846
-495,485,15,8854
-496,453,-9,8861
-350,418,51,8869
-319,403,105,8878
-433,411,72,8886
-383,488,47,8893
-470,420,84,8901
-405,390,-75,8909
-364,381,-22,8918
-495,347,-57,8925
-397,372,-107,8933
-397,320,-111,8941
-365,346,-141,8949
-431,373,2,8956
-437,376,-42,8965
-315,325,135,8973
-301,374,100,8981
-397,489,-28,8988
-463,306,-12,8996
-438,333,-13,9005
-351,383,17,9013
-311,363,31,9020
-433,401,-91,9028
-362,428,43,9036
-447,439,-10,9044
-401,368,81,9053
-376,429,-22,9060
-460,383,-40,9068
-398,375,0,9076
-412,431,-55,9083
-400,400,-40,9092
-312,363,-58,9100
-412,383,113,9108
-449,295,37,9115
-441,380,-115,9123
-396,449,-66,9132
-427,426,-118,9139
-421,376,26,9147
-331,316,34,9155
-375,385,-13,9163
-352,380,-8,9171
-417,320,-18,9179
-388,406,-25,9187
-406,382,3,9195
-310,431,52,9203
-439,422,87,9210
-439,385,131,9219
-422,415,-128,9227
-396,394,-118,9234
-410,434,49,9242
-361,386,-64,9250
-422,413,52,9259
-447,404,-57,9267
-478,376,43,9274
-458,407,-73,9282
-408,413,-61,9290
-438,404,-47,9298
-425,399,-27,9306
-394,391,-59,9314
-374,384,34,9322
-341,369,-86,9330
-384,370,92,9337
-552,404,7,9346
-434,394,-45,9354
-375,382,-10,9362
-376,407,-50,9369
-391,448,26,9377
-340,419,-139,9385
-429,431,49,9394
-492,368,-107,9401
-430,379,89,9409
-486,420,-12,9417
-323,426,-18,9425
-406,385,73,9433
-406,380,15,9441
-424,378,22,9449
-486,385,55,9457
-454,335,-4,9464
-422,331,-117,9473
-375,401,19,9481
-402,346,32,9489
-458,383,-56,9496
-443,398,129,9504
-401,381,-16,9512
-457,360,-139,9521
-437,382,54,9528
-395,372,-173,9536
-360,426,-95,9544
-509,476,-14,9552
-426,396,54,9560
-431,378,-104,9568
-416,315,-55,9576
-370,424,-114,9584
-374,372,-41,9591
-400,330,1,9600
-459,398,-9,9608
-396,314,44,9616
-419,419,-27,9623
-438,346,63,9631
-418,271,-61,9639
-418,373,-7,9648
-426,364,-16,9655
-434,345,-40,9663
-396,327,40,9671
-407,386,-40,9679
-379,391,-32,9687
-401,413,-121,9695
-431,360,-68,9703
-459,425,13,9711
-418,386,29,9718
-430,433,-91,9726
-373,395,-27,9735
-362,434,23,9743
-384,337,124,9750
-474,393,16,9758
-431,332,52,9766
-384,463,10,9775
-318,379,103,9782
-386,407,-54,9790
-472,370,-30,9798
-444,338,52,9806
-392,366,-2,9814
-455,351,15,9822
-309,412,-67,9830
-363,328,73,9838
-351,281,52,9845
-398,473,-35,9853
-403,396,-15,9862
-401,359,33,9870
-428,411,140,9877
-362,484,-86,9885
-364,470,13,9893
-393,388,51,9902
-396,400,73,9909
-437,444,22,9917
-361,377,2,9925
-419,376,-33,9933
-366,362,-49,9940
-377,362,-42,9949
-411,359,20,9957
-438,354,21,9965
-383,360,-21,9972
-391,411,-110,9980
-329,394,-135,9989
-413,433,-123,9996
-499,434,-67,10004
-459,398,-82,10012
-407,397,11,10020
-332,365,113,10029
-377,377,77,10036
-368,313,116,10044
-370,292,45,10052
-460,290,215,10060
-466,311,57,10067
-440,376,-64,10076
-407,297,156,10084
-455,427,1,10091
-467,378,-15,10099
-388,411,-64,10107
-344,411,-96,10116
-374,432,-89,10123
-490,412,-261,10131
-417,391,-122,10139
-385,431,-39,10147
-468,422,-70,10155
-452,423,-19,10163
-431,338,-84,10171
-346,393,70,10179
-393,288,63,10187
-466,289,-13,10194
-450,223,52,10203
-380,322,126,10211
-444,328,49,10219
-306,386,134,10226
-475,313,46,10234
-406,424,-12,10243
-379,420,-97,10250
-413,394,-116,10258
-464,438,-79,10266
-440,443,-117,10274
-456,402,40,10281
-489,403,-40,10290
-489,427,-64,10298
-383,377,28,10306
-410,347,-23,10314
-385,337,80,10321
-383,342,15,10330
-469,372,-21,10338
-404,325,-11,10346
-430,378,-25,10353
-402,403,6,10361
-462,379,93,10370
-394,321,-23,10378
-370,389,33,10385
-406,406,-50,10393
-481,405,41,10401
-373,364,69,10408
-435,411,39,10417
-449,389,72,10425
-398,306,25,10433
-413,385,-48,10441
-203,398,-54,10448
-383,370,-136,10457
-528,227,-173,10465
-479,332,-106,10473
-296,426,17,10480
-380,436,-46,10488
-479,404,-60,10497
-491,411,-84,10505
-429,387,26,10512
-403,430,0,10520
-443,343,75,10528
-426,445,-11,10536
-363,445,-84,10544
-507,372,35,10552
-459,407,-42,10560
-389,353,83,10567
-423,388,33,10575
-387,413,-67,10584
-354,433,-2,10592
-398,351,-120,10600
-484,412,13,10607
-400,414,30,10615
-484,391,-14,10624
-478,398,105,10631
-384,342,4,10639
-380,271,23,10647
-463,323,39,10655
-425,288,-36,10663
-475,254,-79,10671
-221,298,84,10679
-364,336,44,10687
-519,354,-83,10695
-485,311,55,10702
-344,399,98,10711
-322,347,-102,10719
-399,352,-120,10727
-533,348,-60,10734
-434,515,-55,10742
-359,431,49,10750
-528,377,19,10758
-369,452,11,10766
-372,379,32,10774
-407,399,44,10782
-438,389,90,10790
-434,336,20,10798
-491,332,-10,10806
-336,262,-38,10814
-347,334,112,10821
-458,330,-20,10829
-473,315,-28,10838
-501,381,7,10846
-504,305,-117,10854
-459,414,19,10861
-380,426,-51,10869
-433,340,-41,10877
-391,489,-97,10885
-482,421,-13,10893
-541,420,-32,10901
-466,412,-71,10909
-451,318,-5,10916
-446,372,-54,10925
-307,322,23,10933
-366,389,114,10941
-524,408,47,10949
-425,309,35,10956
-465,387,-20,10964
-342,415,67,10973
-414,408,-39,10981
-359,372,63,10988
-416,430,29,10996
-435,441,-113,11004
-461,367,-107,11013
-400,372,-2,11020
-393,372,16,11028
-400,427,-20,11036
-419,282,-84,11043
-482,377,7,11052
-401,401,102,11060
-401,372,181,11068
-409,391,-8,11076
-430,355,114,11083
-421,401,78,11091
-411,371,-14,11100
-443,311,-49,11107
-440,370,-116,11115
-506,390,-59,11123
-405,348,-14,11131
-450,343,-187,11139
-448,356,-49,11147
-433,392,-107,11155
-491,369,-12,11163
-404,337,3,11170
-379,370,-113,11179
-347,396,17,11187
-634,303,-24,11195
-57,394,-207,11203
-379,332,-27,11210
-656,231,-25,11218
-479,279,18,11227
-261,453,-18,11234
-424,400,41,11242
-456,288,-40,11250
-427,306,-9,11258
-355,377,26,11267
-411,406,-39,11274
-452,358,-51,11282
-424,400,105,11290
-417,474,-20,11297
-419,498,108,11305
-493,413,55,11314
-512,380,131,11322
-414,478,44,11329
-382,393,25,11337
-477,448,-30,11345
-454,401,25,11354
-482,380,-20,11362
-423,369,-83,11369
-515,316,69,11377
-484,416,19,11385
-487,310,33,11393
-419,374,-88,11401
-371,272,-43,11409
-365,242,-98,11417
-360,282,-15,11425
-377,265,-67,11432
-412,293,116,11441
-441,259,-21,11449
-454,357,51,11457
-451,301,27,11464
-408,404,-165,11472
-435,406,-33,11481
-493,360,13,11488
-535,393,2,11496
-425,362,90,11504
-437,378,41,11512
-499,331,-54,11520
-471,347,-18,11528
-459,367,80,11536
-371,345,55,11544
-457,309,13,11551
-386,367,16,11559
-380,277,49,11568
-475,348,117,11576
-464,357,32,11584
-439,321,-23,11591
-363,336,22,11599
-380,275,-20,11608
-323,308,134,11615
-429,396,-80,11623
-414,331,-8,11631
-444,344,-116,11639
-381,375,-64,11648
-446,414,-159,11655
-510,360,-10,11663
-497,464,-107,11671
-459,495,113,11679
-401,378,4,11686
-471,345,5,11695
-488,391,26,11703
-513,382,135,11711
-432,405,205,11718
-431,327,34,11726
-421,373,-4,11735
-500,338,149,11742
-430,327,98,11750
-423,285,44,11758
-395,380,51,11766
-483,247,68,11774
-479,302,-70,11782
-390,330,-114,11790
-428,342,-48,11798
-431,402,-129,11806
-428,348,-143,11813
-391,329,-112,11822
-460,403,-70,11830
-425,413,-11,11838
-463,329,-90,11845
-459,379,56,11853
-452,401,74,11862
-461,281,49,11869
-442,394,170,11877
-484,262,103,11885
-430,350,55,11893
-470,399,15,11900
-415,367,51,11909
-446,460,-20,11917
-341,362,29,11925
-409,465,-85,11933
-426,302,-65,11940
-410,336,-75,11949
-463,315,-53,11957
-340,332,-50,11964
-322,316,38,11972
-446,352,-41,11980
-583,306,-25,11988
-403,318,-43,11997
-315,374,-122,12004
-471,335,8,12012
-420,379,-121,12020
-500,388,-60,12027
-377,323,-11,12036
-448,384,0,12044
-392,383,3,12052
-443,321,100,12059
-397,357,153,12067
-486,360,-79,12076
-507,408,128,12084
-418,363,13,12091
-436,415,-92,12099
-411,324,-99,12107
-461,352,2,12115
-431,330,-82,12123
-445,378,-87,12131
-541,345,-104,12139
-443,381,-155,12147
-414,392,-104,12154
-412,316,-61,12163
-450,360,-114,12171
-467,350,-138,12179
-424,402,-5,12186
-422,349,-81,12194
-455,216,130,12203
-393,295,-75,12211
-391,317,79,12219
-378,264,13,12226
-423,231,63,12234
-394,301,96,12242
-529,328,138,12250
-488,354,-42,12258
-523,374,-24,12266
-483,437,0,12274
-448,459,55,12281
-441,374,98,12290
-471,468,-13,12298
-522,350,-117,12306
-426,421,-97,12313
-523,423,-181,12321
-453,451,-148,12329
-516,364,-55,12338
-430,292,-56,12345
-400,382,-17,12353
-357,361,59,12361
-443,238,57,12369
-474,310,-67,12378
-447,263,168,12385
-422,258,56,12393
-526,266,113,12401
-459,281,119,12408
-406,269,100,12417
-474,311,116,12425
-466,305,-45,12433
-430,313,105,12441
-474,365,11,12448
-393,295,-70,12456
-424,349,-37,12465
-434,376,-47,12472
-557,356,-111,12480
-467,367,-157,12488
-395,292,-20,12496
-393,392,17,12504
-479,266,-138,12512
-431,368,-98,12520
-505,353,36,12528
-500,355,-133,12535
-379,330,-138,12544
-378,362,3,12552
-457,359,50,12560
-467,390,-7,12567
-466,305,60,12575
-470,319,16,12583
-471,396,-21,12592
-392,463,3,12600
-433,332,100,12607
-399,335,-9,12615
-425,370,122,12623
-439,338,2,12632
-392,280,-43,12639
-478,298,-12,12647
-448,353,-100,12655
-416,253,84,12662
-420,254,14,12670
-469,228,-54,12679
-405,272,-62,12687
-444,262,4,12695
-443,317,4,12702
-452,256,-26,12710
-420,320,-38,12719
-455,290,-128,12726
-435,318,19,12734
-420,327,-118,12742
-489,389,-22,12750
-501,348,-70,12758
-472,403,0,12766
-510,303,119,12774
-507,377,-8,12782
-452,299,-81,12789
-347,264,-24,12797
-339,326,-45,12806
-420,374,112,12814
-475,339,-1,12821
-427,253,25,12829
-428,389,-49,12837
-513,343,32,12846
-383,383,-70,12853
-444,340,-172,12861
-473,398,4,12869
-484,366,-72,12877
-451,390,-21,12884
-438,348,-10,12893
-429,431,21,12901
-498,335,10,12909
-436,346,23,12916
-480,339,-20,12924
-495,380,-16,12933
-505,288,-46,12941
-576,329,14,12948
-460,369,-4,12956
-417,348,164,12964
-450,389,45,12973
-439,382,-41,12980
-477,294,-148,12988
-545,306,-48,12996
-473,347,-137,13004
-465,296,11,13011
-370,374,-211,13020
-411,345,-97,13028
-455,254,-57,13036
-424,264,-57,13043
-424,190,-83,13051
-424,336,64,13060
-471,263,9,13068
-417,374,53,13075
-423,266,-116,13083
-488,364,-90,13091
-497,381,-64,13100
-495,330,60,13107
-485,352,-65,13115
-503,367,95,13123
-382,409,-11,13131
-414,476,-24,13138
-465,402,82,13147
-410,401,-13,13155
-343,341,-64,13163
-435,349,66,13170
-436,316,-80,13178
-407,281,-29,13187
-421,292,-197,13195
-472,309,89,13202
-444,305,-38,13210
-423,284,-43,13218
-402,218,-68,13227
-429,314,-88,13234
-451,355,-110,13242
-352,335,-178,13250
-389,280,-79,13258
-445,337,13,13265
-474,269,-21,13274
-432,325,23,13282
-477,315,0,13290
-537,338,-46,13297
-409,369,-68,13305
-454,294,-45,13314
-436,372,33,13322
-405,350,-37,13329
-469,283,-70,13337
-484,362,-106,13345
-512,336,-19,13353
-461,280,26,13361
-509,399,101,13369
-465,342,-67,13377
-419,225,105,13385
-330,327,-6,13392
-407,371,49,13401
-424,380,-25,13409
-442,302,-77,13417
-431,251,-49,13424
-425,245,-117,13432
-449,256,-10,13441
-407,374,-122,13449
-465,377,9,13456
-415,317,-132,13464
-393,357,-12,13472
-505,364,21,13480
-467,288,-71,13488
-403,354,68,13496
-448,279,19,13504
-436,262,-21,13512
-498,330,-20,13519
-485,289,-61,13528
-453,309,-150,13536
-504,257,-5,13544
-506,354,69,13551
-363,294,-69,13559
-438,295,8,13568
-427,343,-93,13576
-411,264,-80,13583
-514,238,-7,13591
-441,282,-63,13599
-476,249,0,13607
-481,244,-92,13615
-437,339,49,13623
-455,239,38,13631
-474,386,-41,13639
-449,298,-77,13646
-435,243,3,13655
-487,363,-121,13663
-394,338,9,13671
-473,338,-16,13678
-431,308,-122,13686
-440,357,-26,13694
-519,380,-13,13703
-499,344,-6,13710
-451,347,3,13718
-423,388,-82,13726
-478,261,-35,13734
-454,373,45,13742
-451,296,-111,13750
-485,339,-133,13758
-417,279,-44,13766
-484,220,67,13773
-451,283,-23,13782
-453,256,-27,13790
-524,276,27,13798
-444,360,-125,13805
-497,353,-69,13813
-477,333,-53,13821
-433,305,63,13830
-468,278,-5,13837
-563,239,-61,13845
-454,356,-37,13853
-479,299,0,13861
-516,315,62,13869
-522,361,-22,13877
-465,293,-54,13885
-477,249,19,13893
-438,316,-90,13900
-497,377,173,13908
-443,327,-18,13917
-532,294,-11,13925
-452,329,-23,13932
-459,308,4,13940
-540,343,91,13948
-409,345,-24,13957
-502,333,-58,13964
-475,252,-56,13972
-487,278,0,13980
